City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition),Rape (legacy definition),Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Soledad,"25,170",53,3,3,,4,43,302,105,118,79,4
Solvang,"5,571",11,0,0,,3,8,81,30,46,5,0
Sonoma3,"11,107",32,0,1,,1,30,222,36,174,12,0
Sonora3,"4,779",42,0,5,,10,27,365,80,267,18,4
South El Monte,"20,679",125,6,6,,27,86,649,161,325,163,5
South Gate3,"96,775",561,2,24,,199,336,"3,278",574,"1,653","1,051",10
South Lake Tahoe3,"21,558",65,0,5,,19,41,548,105,404,39,0
South Pasadena3,"26,287",30,0,3,,22,5,708,141,536,31,2
South San Francisco,"67,843",157,1,28,,44,84,"1,421",314,916,191,13
Stallion Springs,"2,611",3,0,0,,0,3,16,1,13,2,0
Stanton,"38,921",152,0,14,,60,78,770,130,457,183,2
St. Helena,"6,028",9,0,1,,0,8,92,19,70,3,0
Stockton,"304,890","4,122",49,135,,"1,144","2,794","12,998","2,891","8,119","1,988",103
Suisun City,"29,539",81,1,5,,20,55,872,120,655,97,5
Sunnyvale,"152,443",158,1,29,,61,67,"2,355",545,"1,514",296,9
Susanville3,"15,045",173,0,7,,10,156,360,82,259,19,6
Sutter Creek3,"2,457",12,0,2,,0,10,36,3,30,3,3
Taft,"8,819",58,0,1,,7,50,333,79,235,19,0
Tehachapi,"12,971",44,0,8,,5,31,338,109,195,34,0
Temecula,"111,673",114,1,8,,47,58,"2,917",459,"2,116",342,3
Temple City,"36,524",66,1,10,,24,31,474,154,280,40,1
Thousand Oaks,"129,976",136,0,26,,23,87,"1,577",234,"1,241",102,9
Tiburon3,"9,288",9,0,0,,1,8,78,14,61,3,1
Torrance3,"149,243",214,2,34,,85,93,"2,881",540,"2,024",317,4
Tracy,"86,477",154,1,19,,49,85,"2,417",272,"1,736",409,25
Truckee,"16,331",20,0,2,,1,17,158,38,111,9,5
Tulare,"62,475",303,10,16,,46,231,"2,002",398,"1,299",305,0
Tulelake3,983,2,0,0,,0,2,12,3,6,3,0
Turlock3,"71,895",380,2,16,,103,259,"2,745",602,"1,632",511,30
Tustin3,"81,953",130,1,10,,38,81,"1,715",217,"1,344",154,5
Twentynine Palms,"26,105",86,2,8,,13,63,412,139,241,32,7
Ukiah,"15,969",153,1,18,,20,114,520,150,331,39,7
Union City,"74,648",265,3,3,,87,172,"1,643",305,"1,024",314,6
Upland,"76,581",232,4,21,,79,128,"2,384",570,"1,489",325,3
Vacaville,"96,693",249,0,20,,97,132,"2,159",236,"1,723",200,15
Vallejo,"121,257","1,031",18,102,,351,560,"4,986","2,352","1,536","1,098",40
Ventura,"110,077",374,2,53,,124,195,"3,900",598,"3,042",260,11
Vernon3,115,28,1,1,,12,14,290,30,171,89,0
Victorville,"123,332",777,6,49,,229,493,"4,008","1,095","2,285",628,39
Villa Park,"6,002",1,0,0,,1,0,83,34,47,2,0
Visalia,"130,405",608,6,106,,130,366,"3,995",814,"2,621",560,11
Vista,"99,097",343,2,37,,95,209,"1,989",344,"1,328",317,6
Walnut,"30,469",31,1,1,,17,12,322,143,157,22,2
Walnut Creek,"68,530",91,1,2,,28,60,"2,540",342,"1,960",238,4
Waterford3,"8,800",13,0,0,,0,13,124,31,60,33,0
Watsonville,"53,581",303,4,33,,104,162,"1,930",254,"1,261",415,4
Weed,"2,836",31,1,3,,4,23,115,23,83,9,0
West Covina,"109,030",263,2,13,,99,149,"2,982",400,"2,095",487,10
West Hollywood,"36,256",280,2,19,,90,169,"1,400",209,"1,102",89,11
Westlake Village,"8,522",6,0,2,,2,2,195,47,142,6,1
Westminster,"92,640",303,1,22,,118,162,"2,950",502,"2,123",325,6
Westmorland3,"2,278",5,0,0,,3,2,7,5,2,0,0
West Sacramento,"52,622",311,2,21,,90,198,"1,457",256,"1,030",171,6
Wheatland,"3,482",1,0,0,,0,1,59,14,34,11,0
Whittier3,"87,807",238,1,18,,90,129,"2,531",319,"1,797",415,11
Wildomar,"36,154",39,0,7,,8,24,619,143,353,123,0
Williams3,"5,205",10,0,1,,2,7,70,14,43,13,4
Willits,"4,856",66,0,4,,2,60,64,15,34,15,2
Willows,"6,074",40,0,5,,4,31,190,24,148,18,2
Windsor,"27,565",85,0,9,,16,60,352,35,300,17,5
Winters,"7,023",24,0,2,,1,21,111,17,80,14,1
Woodlake3,"7,751",39,2,1,,3,33,134,32,87,15,2
Woodland,"57,911",265,1,16,,51,197,"1,798",326,"1,230",242,15
Yorba Linda,"68,698",39,0,7,,7,25,650,152,463,35,1
Yountville3,"3,030",7,0,0,,0,7,46,7,36,3,0
Yreka,"7,507",47,1,4,,4,38,309,85,188,36,1
Yuba City,"65,974",216,0,28,,66,122,"1,792",429,"1,160",203,14
Yucaipa,"53,498",94,2,8,,22,62,"1,309",263,838,208,12
Yucca Valley,"21,672",151,0,8,,30,113,664,217,381,66,8
