,AirBnb Neighborhood,AirBnb Price,AirBnb Type,AirBnb Lat,AirBnb Long,AirBnb Source,neighborhood name,Regular Price,Regular Type,Regular Lat,Regular Long,Regular Source
14,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,20000,Other,34.04359818,-118.5230026,Reguar
15,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,9900,Other,34.06032944,-118.5447464,Reguar
16,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,5995,apartment,34.04809952,-118.5289993,Reguar
17,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,14000,single_home,34.03956985,-118.524292,Reguar
18,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,8100,single_home,34.04761887,-118.5388565,Reguar
19,"{'id': 19810, 'name': 'Pacific Palisades'}",14976,House,34.04000092,-118.529808,Airbnb,Pacific Palisades,29800,Other,34.04230118,-118.5101318,Reguar
20,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,8500,Other,34.04130936,-118.5628662,Reguar
21,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,4595,townhouse,34.07870102,-118.564003,Reguar
22,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,4450,Other,34.0750885,-118.5626678,Reguar
23,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,8500,single_home,34.04449844,-118.564003,Reguar
24,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,19000,Other,34.04270172,-118.5638428,Reguar
25,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,10500,apartment,34.04027939,-118.5543823,Reguar
26,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,3975,apartment,34.04888916,-118.5282593,Reguar
27,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,12000,Other,34.0424881,-118.5513077,Reguar
28,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,2750,Other,34.07992935,-118.5636673,Reguar
29,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,23950,single_home,34.04101181,-118.5624771,Reguar
30,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,10500,Other,34.04759979,-118.5362625,Reguar
31,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,12500,single_home,34.04143906,-118.5578918,Reguar
32,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,19750,Other,34.05307007,-118.5215683,Reguar
33,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,15000,Other,34.04333878,-118.5241318,Reguar
34,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,20000,Other,34.04359818,-118.5230026,Reguar
35,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,9900,Other,34.06032944,-118.5447464,Reguar
36,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,5995,apartment,34.04809952,-118.5289993,Reguar
37,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,14000,single_home,34.03956985,-118.524292,Reguar
38,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,8100,single_home,34.04761887,-118.5388565,Reguar
39,"{'id': 19810, 'name': 'Pacific Palisades'}",1530,Apartment,34.02664948,-118.5169067,Airbnb,Pacific Palisades,29800,Other,34.04230118,-118.5101318,Reguar
40,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,8500,Other,34.04130936,-118.5628662,Reguar
41,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,4595,townhouse,34.07870102,-118.564003,Reguar
42,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,4450,Other,34.0750885,-118.5626678,Reguar
43,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,8500,single_home,34.04449844,-118.564003,Reguar
44,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,19000,Other,34.04270172,-118.5638428,Reguar
45,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,10500,apartment,34.04027939,-118.5543823,Reguar
46,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,3975,apartment,34.04888916,-118.5282593,Reguar
47,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,12000,Other,34.0424881,-118.5513077,Reguar
48,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,2750,Other,34.07992935,-118.5636673,Reguar
49,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,23950,single_home,34.04101181,-118.5624771,Reguar
50,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,10500,Other,34.04759979,-118.5362625,Reguar
51,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,12500,single_home,34.04143906,-118.5578918,Reguar
52,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,19750,Other,34.05307007,-118.5215683,Reguar
53,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,15000,Other,34.04333878,-118.5241318,Reguar
54,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,20000,Other,34.04359818,-118.5230026,Reguar
55,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,9900,Other,34.06032944,-118.5447464,Reguar
56,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,5995,apartment,34.04809952,-118.5289993,Reguar
57,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,14000,single_home,34.03956985,-118.524292,Reguar
58,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,8100,single_home,34.04761887,-118.5388565,Reguar
59,"{'id': 19810, 'name': 'Pacific Palisades'}",2304,Guesthouse,34.03731155,-118.5320206,Airbnb,Pacific Palisades,29800,Other,34.04230118,-118.5101318,Reguar
60,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,8500,Other,34.04130936,-118.5628662,Reguar
61,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,4595,townhouse,34.07870102,-118.564003,Reguar
62,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,4450,Other,34.0750885,-118.5626678,Reguar
63,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,8500,single_home,34.04449844,-118.564003,Reguar
64,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,19000,Other,34.04270172,-118.5638428,Reguar
65,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,10500,apartment,34.04027939,-118.5543823,Reguar
66,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,3975,apartment,34.04888916,-118.5282593,Reguar
67,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,12000,Other,34.0424881,-118.5513077,Reguar
68,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,2750,Other,34.07992935,-118.5636673,Reguar
69,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,23950,single_home,34.04101181,-118.5624771,Reguar
70,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,10500,Other,34.04759979,-118.5362625,Reguar
71,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,12500,single_home,34.04143906,-118.5578918,Reguar
72,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,19750,Other,34.05307007,-118.5215683,Reguar
73,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,15000,Other,34.04333878,-118.5241318,Reguar
74,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,20000,Other,34.04359818,-118.5230026,Reguar
75,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,9900,Other,34.06032944,-118.5447464,Reguar
76,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,5995,apartment,34.04809952,-118.5289993,Reguar
77,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,14000,single_home,34.03956985,-118.524292,Reguar
78,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,8100,single_home,34.04761887,-118.5388565,Reguar
79,"{'id': 19810, 'name': 'Pacific Palisades'}",6084,House,34.04430008,-118.538147,Airbnb,Pacific Palisades,29800,Other,34.04230118,-118.5101318,Reguar
80,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,8500,Other,34.04130936,-118.5628662,Reguar
81,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,4595,townhouse,34.07870102,-118.564003,Reguar
82,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,4450,Other,34.0750885,-118.5626678,Reguar
83,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,8500,single_home,34.04449844,-118.564003,Reguar
84,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,19000,Other,34.04270172,-118.5638428,Reguar
85,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,10500,apartment,34.04027939,-118.5543823,Reguar
86,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,3975,apartment,34.04888916,-118.5282593,Reguar
87,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,12000,Other,34.0424881,-118.5513077,Reguar
88,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,2750,Other,34.07992935,-118.5636673,Reguar
89,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,23950,single_home,34.04101181,-118.5624771,Reguar
90,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,10500,Other,34.04759979,-118.5362625,Reguar
91,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,12500,single_home,34.04143906,-118.5578918,Reguar
92,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,19750,Other,34.05307007,-118.5215683,Reguar
93,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,15000,Other,34.04333878,-118.5241318,Reguar
94,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,20000,Other,34.04359818,-118.5230026,Reguar
95,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,9900,Other,34.06032944,-118.5447464,Reguar
96,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,5995,apartment,34.04809952,-118.5289993,Reguar
97,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,14000,single_home,34.03956985,-118.524292,Reguar
98,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,8100,single_home,34.04761887,-118.5388565,Reguar
99,"{'id': 19810, 'name': 'Pacific Palisades'}",2754,House,34.04616928,-118.5281067,Airbnb,Pacific Palisades,29800,Other,34.04230118,-118.5101318,Reguar
100,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,8500,Other,34.04130936,-118.5628662,Reguar
101,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,4595,townhouse,34.07870102,-118.564003,Reguar
102,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,4450,Other,34.0750885,-118.5626678,Reguar
103,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,8500,single_home,34.04449844,-118.564003,Reguar
104,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,19000,Other,34.04270172,-118.5638428,Reguar
105,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,10500,apartment,34.04027939,-118.5543823,Reguar
106,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,3975,apartment,34.04888916,-118.5282593,Reguar
107,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,12000,Other,34.0424881,-118.5513077,Reguar
108,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,2750,Other,34.07992935,-118.5636673,Reguar
109,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,23950,single_home,34.04101181,-118.5624771,Reguar
110,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,10500,Other,34.04759979,-118.5362625,Reguar
111,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,12500,single_home,34.04143906,-118.5578918,Reguar
112,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,19750,Other,34.05307007,-118.5215683,Reguar
113,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,15000,Other,34.04333878,-118.5241318,Reguar
114,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,20000,Other,34.04359818,-118.5230026,Reguar
115,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,9900,Other,34.06032944,-118.5447464,Reguar
116,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,5995,apartment,34.04809952,-118.5289993,Reguar
117,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,14000,single_home,34.03956985,-118.524292,Reguar
118,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,8100,single_home,34.04761887,-118.5388565,Reguar
119,"{'id': 19810, 'name': 'Pacific Palisades'}",8064,House,34.04602814,-118.5303726,Airbnb,Pacific Palisades,29800,Other,34.04230118,-118.5101318,Reguar
120,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,8500,Other,34.04130936,-118.5628662,Reguar
121,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,4595,townhouse,34.07870102,-118.564003,Reguar
122,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,4450,Other,34.0750885,-118.5626678,Reguar
123,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,8500,single_home,34.04449844,-118.564003,Reguar
124,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,19000,Other,34.04270172,-118.5638428,Reguar
125,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,10500,apartment,34.04027939,-118.5543823,Reguar
126,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,3975,apartment,34.04888916,-118.5282593,Reguar
127,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,12000,Other,34.0424881,-118.5513077,Reguar
128,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,2750,Other,34.07992935,-118.5636673,Reguar
129,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,23950,single_home,34.04101181,-118.5624771,Reguar
130,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,10500,Other,34.04759979,-118.5362625,Reguar
131,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,12500,single_home,34.04143906,-118.5578918,Reguar
132,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,19750,Other,34.05307007,-118.5215683,Reguar
133,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,15000,Other,34.04333878,-118.5241318,Reguar
134,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,20000,Other,34.04359818,-118.5230026,Reguar
135,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,9900,Other,34.06032944,-118.5447464,Reguar
136,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,5995,apartment,34.04809952,-118.5289993,Reguar
137,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,14000,single_home,34.03956985,-118.524292,Reguar
138,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,8100,single_home,34.04761887,-118.5388565,Reguar
139,"{'id': 19810, 'name': 'Pacific Palisades'}",5400,Bungalow,34.04166031,-118.5302277,Airbnb,Pacific Palisades,29800,Other,34.04230118,-118.5101318,Reguar
140,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,8500,Other,34.04130936,-118.5628662,Reguar
141,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,4595,townhouse,34.07870102,-118.564003,Reguar
142,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,4450,Other,34.0750885,-118.5626678,Reguar
143,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,8500,single_home,34.04449844,-118.564003,Reguar
144,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,19000,Other,34.04270172,-118.5638428,Reguar
145,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,10500,apartment,34.04027939,-118.5543823,Reguar
146,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,3975,apartment,34.04888916,-118.5282593,Reguar
147,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,12000,Other,34.0424881,-118.5513077,Reguar
148,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,2750,Other,34.07992935,-118.5636673,Reguar
149,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,23950,single_home,34.04101181,-118.5624771,Reguar
150,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,10500,Other,34.04759979,-118.5362625,Reguar
151,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,12500,single_home,34.04143906,-118.5578918,Reguar
152,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,19750,Other,34.05307007,-118.5215683,Reguar
153,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,15000,Other,34.04333878,-118.5241318,Reguar
154,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,20000,Other,34.04359818,-118.5230026,Reguar
155,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,9900,Other,34.06032944,-118.5447464,Reguar
156,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,5995,apartment,34.04809952,-118.5289993,Reguar
157,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,14000,single_home,34.03956985,-118.524292,Reguar
158,"{'id': 19810, 'name': 'Pacific Palisades'}",8604,House,34.04724121,-118.5103302,Airbnb,Pacific Palisades,8100,single_home,34.04761887,-118.5388565,Reguar
