id,neighborhood name,Regular Price,Regular Type,Regular Lat,Regular Long,Regular Source
5113526,Hollywood,1300,apartment,34.08670044,-118.3150024,Reguar
5113539,Hollywood,1495,apartment,34.0848999,-118.3270035,Reguar
5113552,Hollywood,1795,apartment,34.08710098,-118.3249969,Reguar
5113556,Hollywood,1850,apartment,34.08599854,-118.3320007,Reguar
5113564,Hollywood,1898,apartment,34.08499908,-118.322998,Reguar
5113567,Hollywood,1900,apartment,34.08470154,-118.322998,Reguar
5113575,Hollywood,2195,apartment,34.08610153,-118.3310013,Reguar
5113577,Hollywood,2200,apartment,34.08570099,-118.3119965,Reguar
5113578,Hollywood,2250,apartment,34.08459854,-118.3320007,Reguar
5113584,Hollywood,2300,apartment,34.08570099,-118.3310013,Reguar
5113593,Hollywood,2500,single_home,34.0868988,-118.3410034,Reguar
2297299,Studio City,13500,single_home,34.12342834,-118.379303,Reguar
2380563,Studio City,3250,apartment,34.15007019,-118.3817062,Reguar
2817659,Studio City,4950,single_home,34.14649963,-118.387001,Reguar
3167867,Studio City,4000,apartment,34.14191055,-118.3920288,Reguar
3739511,Studio City,8000,single_home,34.14921188,-118.4086685,Reguar
5078204,Studio City,2345,apartment,34.14590073,-118.3720016,Reguar
5078206,Studio City,2350,apartment,34.14630127,-118.387001,Reguar
5078236,Studio City,3950,single_home,34.15159988,-118.3799973,Reguar
5078251,Studio City,5995,single_home,34.12649918,-118.3860016,Reguar
5118392,Studio City,1400,apartment,34.1493988,-118.3710022,Reguar
5118394,Studio City,1490,apartment,34.15159988,-118.3710022,Reguar
5118399,Studio City,1575,apartment,34.14989853,-118.3710022,Reguar
5118403,Studio City,1595,apartment,34.14960098,-118.3700027,Reguar
5118404,Studio City,1610,apartment,34.1405983,-118.3679962,Reguar
5118406,Studio City,1675,apartment,34.14590073,-118.3710022,Reguar
5118407,Studio City,1699,apartment,34.14749908,-118.3880005,Reguar
5118408,Studio City,1750,apartment,34.14429855,-118.3730011,Reguar
5118409,Studio City,1775,apartment,34.15110016,-118.3710022,Reguar
5118410,Studio City,1795,apartment,34.145401,-118.3730011,Reguar
5118415,Studio City,2150,apartment,34.14770126,-118.387001,Reguar
5066780,Encino,3750,single_home,34.15605164,-118.5264511,Reguar
5066787,Encino,3900,single_home,34.16608047,-118.5004425,Reguar
5067661,Encino,3595,single_home,34.14466858,-118.4719086,Reguar
5291091,Encino,660,single_home,34.16519928,-118.4970016,Reguar
5291092,Encino,1275,apartment,34.16699982,-118.5240021,Reguar
5291093,Encino,1295,apartment,34.17060089,-118.5240021,Reguar
5291094,Encino,1395,apartment,34.17219925,-118.5100021,Reguar
5291095,Encino,1400,apartment,34.17179871,-118.512001,Reguar
5291096,Encino,1400,apartment,34.17179871,-118.512001,Reguar
5291097,Encino,1400,apartment,34.17179871,-118.512001,Reguar
5291100,Encino,1425,apartment,34.18149948,-118.5360031,Reguar
5291101,Encino,1450,apartment,34.1651001,-118.5210037,Reguar
5291103,Encino,1450,apartment,34.17160034,-118.5250015,Reguar
5291105,Encino,1550,apartment,34.16930008,-118.5220032,Reguar
5291106,Encino,1550,apartment,34.1697998,-118.5169983,Reguar
5291108,Encino,1695,apartment,34.17219925,-118.5110016,Reguar
5291109,Encino,1750,apartment,34.1697998,-118.5169983,Reguar
5291110,Encino,1750,apartment,34.16830063,-118.5210037,Reguar
5291114,Encino,1875,apartment,34.16820145,-118.5250015,Reguar
5291116,Encino,1895,apartment,34.17160034,-118.5130005,Reguar
5291722,Mar Vista,1575,apartment,34.00049973,-118.4380035,Reguar
5291723,Mar Vista,1575,apartment,34.00049973,-118.4380035,Reguar
5291724,Mar Vista,1575,apartment,34.00049973,-118.4380035,Reguar
5291725,Mar Vista,1695,apartment,34.00239944,-118.4349976,Reguar
5291727,Mar Vista,1895,apartment,33.9992981,-118.4229965,Reguar
5291728,Mar Vista,2195,apartment,33.99959946,-118.4369965,Reguar
5291729,Mar Vista,2395,apartment,34.00030136,-118.4240036,Reguar
5291730,Mar Vista,2395,apartment,34.00270081,-118.4339981,Reguar
5291731,Mar Vista,2400,townhouse,34.02389908,-118.447998,Reguar
5291732,Mar Vista,2495,apartment,33.99900055,-118.435997,Reguar
5291733,Mar Vista,2495,apartment,33.9966011,-118.4380035,Reguar
5291734,Mar Vista,2550,townhouse,34.01720047,-118.4240036,Reguar
5291737,Mar Vista,2719,apartment,34.02510071,-118.4339981,Reguar
5291739,Mar Vista,2875,townhouse,34.02399826,-118.447998,Reguar
5291740,Mar Vista,2900,apartment,34.00510025,-118.4349976,Reguar
5291741,Mar Vista,2995,apartment,34.00030136,-118.4240036,Reguar
5291743,Mar Vista,3250,townhouse,33.99940109,-118.4380035,Reguar
5291744,Mar Vista,3850,single_home,33.99980164,-118.4189987,Reguar
5291745,Mar Vista,3900,single_home,34.01259995,-118.4280014,Reguar
5291746,Mar Vista,3960,single_home,34.00059891,-118.4329987,Reguar
5070385,South Los Angeles,2295,single_home,33.9799881,-118.278038,Reguar
5291993,South Los Angeles,850,apartment,33.96039963,-118.2890015,Reguar
5291998,South Los Angeles,989,apartment,33.97359848,-118.2860031,Reguar
5292000,South Los Angeles,995,apartment,33.95230103,-118.2860031,Reguar
5292001,South Los Angeles,1050,single_home,33.96910095,-118.2850037,Reguar
5292004,South Los Angeles,1095,apartment,34.00669861,-118.2890015,Reguar
5292005,South Los Angeles,1095,apartment,33.97850037,-118.2890015,Reguar
5292006,South Los Angeles,1095,apartment,33.95230103,-118.2860031,Reguar
5292007,South Los Angeles,1100,apartment,33.95069885,-118.2850037,Reguar
5292008,South Los Angeles,1100,single_home,33.97309875,-118.2850037,Reguar
5292009,South Los Angeles,1100,apartment,33.99940109,-118.2890015,Reguar
5292010,South Los Angeles,1100,apartment,33.97180176,-118.2860031,Reguar
5292011,South Los Angeles,1150,apartment,33.99670029,-118.2890015,Reguar
5292015,South Los Angeles,1200,apartment,33.96910095,-118.2850037,Reguar
5292016,South Los Angeles,1213,single_home,34.00299835,-118.2870026,Reguar
5292018,South Los Angeles,1250,single_home,33.94520187,-118.2890015,Reguar
5292022,South Los Angeles,1350,apartment,34.00979996,-118.2890015,Reguar
5292023,South Los Angeles,1350,single_home,33.95289993,-118.2900009,Reguar
5292024,South Los Angeles,1350,apartment,33.97200012,-118.2860031,Reguar
5292027,South Los Angeles,1450,apartment,34.0060997,-118.288002,Reguar
2921525,Westwood,7500,single_home,34.07550812,-118.4597473,Reguar
2999124,Westwood,3000,apartment,34.0634613,-118.4264374,Reguar
2999217,Westwood,3000,single_home,34.06470108,-118.4260025,Reguar
4071707,Westwood,2795,Other,34.06140137,-118.4352112,Reguar
4071734,Westwood,1699,single_home,34.07049942,-118.4636536,Reguar
4402093,Westwood,3095,Other,34.06106949,-118.4366074,Reguar
5064731,Westwood,10500,Other,34.06092834,-118.4372711,Reguar
5288477,Westwood,4500,apartment,34.06185913,-118.468277,Reguar
5292199,Westwood,477,single_home,34.06600189,-118.439003,Reguar
5292200,Westwood,570,apartment,34.06840134,-118.4540024,Reguar
5292202,Westwood,725,apartment,34.06779861,-118.4520035,Reguar
5292203,Westwood,795,apartment,34.05009842,-118.4430008,Reguar
5292205,Westwood,850,apartment,34.05559921,-118.439003,Reguar
5292206,Westwood,925,apartment,34.06679916,-118.4540024,Reguar
5292207,Westwood,950,apartment,34.05929947,-118.439003,Reguar
5292208,Westwood,950,apartment,34.05749893,-118.4440002,Reguar
5292209,Westwood,975,apartment,34.05469894,-118.4420013,Reguar
5292210,Westwood,975,apartment,34.06529999,-118.427002,Reguar
5292211,Westwood,1000,apartment,34.05749893,-118.4440002,Reguar
5292212,Westwood,1000,apartment,34.05469894,-118.4420013,Reguar
2596814,Downtown,2800,apartment,34.04724884,-118.2642822,Reguar
2877464,Downtown,2450,apartment,34.04145813,-118.2626266,Reguar
2980745,Downtown,1900,apartment,34.04898071,-118.2561874,Reguar
2999233,Downtown,2450,apartment,34.04748154,-118.2489929,Reguar
3000150,Downtown,2800,apartment,34.04724884,-118.2642822,Reguar
3731260,Downtown,3700,apartment,34.04724884,-118.2642822,Reguar
3738326,Downtown,2595,Other,34.04724884,-118.2642822,Reguar
3745291,Downtown,2700,Other,34.04079819,-118.2631912,Reguar
4073439,Downtown,2100,apartment,34.04719925,-118.2639999,Reguar
4073737,Downtown,2300,apartment,34.04724884,-118.2642822,Reguar
4267115,Downtown,3500,apartment,34.04558182,-118.258728,Reguar
4404177,Downtown,4500,apartment,34.04724884,-118.2642822,Reguar
4404656,Downtown,3750,Other,34.04624939,-118.2615738,Reguar
5026539,Downtown,4200,apartment,34.04832077,-118.2638321,Reguar
5103213,Downtown,2350,apartment,34.04800034,-118.25,Reguar
5292399,Downtown,1800,apartment,34.05099869,-118.2450027,Reguar
5292400,Downtown,1900,apartment,34.05099869,-118.2450027,Reguar
5292413,Downtown,2850,apartment,34.04579926,-118.2440033,Reguar
5292417,Downtown,2900,apartment,34.05099869,-118.2450027,Reguar
5292420,Downtown,3200,apartment,34.0447998,-118.2429962,Reguar
2999128,Silver Lake,6500,single_home,34.08940125,-118.2639999,Reguar
3577819,Silver Lake,3300,single_home,34.08810043,-118.2605972,Reguar
5292670,Silver Lake,1475,apartment,34.08209991,-118.2639999,Reguar
5292671,Silver Lake,1475,apartment,34.10879898,-118.2699966,Reguar
5292672,Silver Lake,1550,apartment,34.08539963,-118.2750015,Reguar
5292674,Silver Lake,1600,apartment,34.09500122,-118.2770004,Reguar
5292675,Silver Lake,1650,apartment,34.07619858,-118.276001,Reguar
5292676,Silver Lake,1750,apartment,34.09140015,-118.2750015,Reguar
5292677,Silver Lake,1800,apartment,34.08869934,-118.2789993,Reguar
5292678,Silver Lake,1850,apartment,34.10929871,-118.2679977,Reguar
5292679,Silver Lake,1895,apartment,34.07749939,-118.276001,Reguar
5292680,Silver Lake,1895,apartment,34.07709885,-118.2740021,Reguar
5292681,Silver Lake,1895,apartment,34.07709885,-118.2740021,Reguar
5292682,Silver Lake,1950,apartment,34.10039902,-118.2730026,Reguar
5292683,Silver Lake,2000,apartment,34.09019852,-118.2750015,Reguar
5292684,Silver Lake,2095,apartment,34.10490036,-118.2549973,Reguar
5292685,Silver Lake,2100,apartment,34.08119965,-118.2740021,Reguar
5292686,Silver Lake,2100,apartment,34.08620071,-118.2839966,Reguar
5292689,Silver Lake,2199,apartment,34.08919907,-118.2829971,Reguar
5292691,Silver Lake,2225,apartment,34.09109879,-118.2809982,Reguar
